City,Type,Nominated Uni,Name,Dist from city centre,Dist from uni,Beds
Aberdeen,Direct,No Nomination,Spring Gardens,0.3 miles from city centre,0.1 miles from North East Scotland College,511
Aberdeen,Direct,No Nomination,The Old Fire Station,0.3 miles from city centre,0.2 miles from North East Scotland College,273
Aberdeen,Direct,No Nomination,Mealmarket Exchange,0.1 miles from city centre,"0.1 miles from Marischal Campus, Aberdeen University",359
Aberdeen,Direct,No Nomination,Causeway View,0.4 miles from city centre,0.2 miles from North East Scotland College,399
Aberdeen,Direct,No Nomination,King Street Exchange,1.1 miles from city centre,"0.2 miles from Old Aberdeen Campus, Aberdeen University",178
Bath,Direct,No Nomination,Charlton Court,0.8 miles from city centre,2.3 miles from Bath Spa University,331
Bath,Nominated,Properties just for Bath Spa University students,Waterside Court,0.8 miles from city centre,2.3 miles from Bath Spa University,316
Birmingham,Direct,No Nomination,The Heights,0.1 miles from city centre,0.1 miles from Aston University,909
Birmingham,Direct,No Nomination,Londonderry House,0.3 miles from city centre,0.1 miles from BPP University Birmingham,175
Birmingham,Direct,No Nomination,Jennens Court,0.3 miles from city centre,0.0 miles from Birmingham Ormiston Academy,596
Birmingham,Direct,No Nomination,Curzon Gateway,0.5 miles from city centre,0.2 miles from Birmingham Institute of Art and Design,749
Bournemouth,Nominated,Properties just for Bournemouth University students,Purbeck House,0.3 miles from city centre,"0.2 miles from Lansdowne Campus, Bournemouth University",519
Bristol,Direct,No Nomination,Culver House,0.6 miles from city centre,0.3 miles from University of Bristol,97
Bristol,Direct,No Nomination,Blenheim Court,0.4 miles from city centre,"0.1 miles from BIMM Main Campus, BIMM -Bristol Institute of Modern Music",231
Bristol,Direct,No Nomination,Cherry Court,0.4 miles from city centre,"0.1 miles from BIMM Main Campus, BIMM -Bristol Institute of Modern Music",176
Bristol,Direct,No Nomination,Phoenix Court,0.2 miles from city centre,0.3 miles from The Big Act in Bristol,277
Bristol,Direct,No Nomination,Studio 58,0.4 miles from city centre,"0.1 miles from BIMM Main Campus, BIMM -Bristol Institute of Modern Music",104
Bristol,Nominated,Properties just for University of Bristol students,Chantry Court,0.5 miles from city centre,0.2 miles from EC Bristol,226
Bristol,Nominated,Properties just for University of Bristol students,Favell House,0.3 miles from city centre,0.1 miles from EC Bristol,234
